구절	교정전	교정후
2 Samuel 2:5	Jabesh-gilead,	Jabeshgilead,
2 Samuel 2:8	Ish-bosheth	Ishbosheth
2 Samuel 2:10	Ish-bosheth	Ishbosheth
2 Samuel 2:12	Ish-bosheth	Ishbosheth
2 Samuel 2:15	Ish-bosheth	Ishbosheth
2 Samuel 2:16	Helkath-hazzurim,	Helkathhazzurim,
2 Samuel 2:32	Beth-lehem.	Bethlehem.
2 Samuel 3:7	[Ish-bosheth]	[Ishbosheth]
2 Samuel 3:8	Ish-bosheth,	Ishbosheth,
2 Samuel 3:10	Beer-sheba.	Beersheba.
2 Samuel 3:14	Ish-bosheth	Ishbosheth
2 Samuel 3:15	Ish-bosheth	Ishbosheth
2 Samuel 4:5	Ish-bosheth,	Ishbosheth,
2 Samuel 4:8	Ish-bosheth	Ishbosheth
2 Samuel 4:8	Ish-bosheth	Ishbosheth
2 Samuel 4:12	Ish-bosheth,	Ishbosheth,
2 Samuel 5:20	Baal-perazim,	Baalperazim,
2 Samuel 5:20	Baal-perazim.	Baalperazim.
2 Samuel 6:8	Perez-uzzah	Perezuzzah
2 Samuel 6:10	Obed-edom	Obededom
2 Samuel 6:11	Obed-edom	Obededom
2 Samuel 6:11	Obed-edom,	Obededom,
2 Samuel 6:12	Obed-edom,	Obededom,
2 Samuel 6:12	Obed-edom	Obededom
2 Samuel 8:1	Metheg-ammah	Methegammah
2 Samuel 9:4	Lo-debar.	Lodebar.
2 Samuel 9:5	Lo-debar.	Lodebar.
2 Samuel 10:6	Beth-rehob,	Bethrehob,
2 Samuel 10:6	Ish-tob	Ishtob
2 Samuel 10:8	Ish-tob,	Ishtob,
2 Samuel 11:3	Bath-sheba,	Bathsheba,
2 Samuel 12:24	Bath-sheba	Bathsheba
2 Samuel 13:23	Baal-hazor,	Baalhazor,
2 Samuel 17:11	Beer-sheba,	Beersheba,
2 Samuel 17:17	En-rogel;	Enrogel;
2 Samuel 17:27	Lo-debar,	Lodebar,
2 Samuel 20:14	Beth-maachah,	Bethmaachah,
2 Samuel 20:15	Beth-maachah,	Bethmaachah,
2 Samuel 21:12	Jabesh-gilead,	Jabeshgilead,
2 Samuel 21:12	Beth-shan,	Bethshan,
2 Samuel 21:16	Ishbi-benob,	Ishbibenob,
2 Samuel 21:19	Jaare-oregim,	Jaareoregim,
2 Samuel 21:19	Beth-lehemite,	Bethlehemite,
2 Samuel 23:14	Beth-lehem.	Bethlehem.
2 Samuel 23:15	Beth-lehem,	Bethlehem,
2 Samuel 23:16	Beth-lehem,	Bethlehem,
2 Samuel 23:24	Beth-lehem,	Bethlehem,
2 Samuel 23:31	Abi-albon	Abialbon
2 Samuel 24:2	Beer-sheba,	Beersheba,
2 Samuel 24:6	Tahtim-hodshi;	Tahtimhodshi;
2 Samuel 24:6	Dan-jaan,	Danjaan,
2 Samuel 24:7	Beer-sheba.	Beersheba.
2 Samuel 24:15	Beer-sheba	Beersheba
1 Kings 1:9	En-rogel,	Enrogel,
1 Kings 1:11	Bath-sheba	Bathsheba
1 Kings 1:15	Bath-sheba	Bathsheba
1 Kings 1:16	Bath-sheba	Bathsheba
1 Kings 1:28	Bath-sheba.	Bathsheba.
1 Kings 1:31	Bath-sheba	Bathsheba
1 Kings 2:13	Bath-sheba	Bathsheba
1 Kings 2:18	Bath-sheba	Bathsheba
1 Kings 2:19	Bath-sheba	Bathsheba
1 Kings 4:9	Beth-shemesh,	Bethshemesh,
1 Kings 4:9	Elon-beth-hanan:	Elonbethhanan:
1 Kings 4:12	Beth-shean,	Bethshean,
1 Kings 4:12	Beth-shean	Bethshean
1 Kings 4:12	Abel-meholah,	Abelmeholah,
1 Kings 4:13	Ramoth-gilead;	Ramothgilead;
1 Kings 4:25	Beer-sheba,	Beersheba,
1 Kings 9:17	Beth-horon	Bethhoron
1 Kings 9:26	Ezion-geber,	Eziongeber,
1 Kings 12:29	Beth-el,	Bethel,
1 Kings 12:32	Beth-el,	Bethel,
1 Kings 12:32	Beth-el	Bethel
1 Kings 12:33	Beth-el	Bethel
1 Kings 13:1	Beth-el:	Bethel:
1 Kings 13:4	Beth-el,	Bethel,
1 Kings 13:10	Beth-el.	Bethel.
1 Kings 13:11	Beth-el;	Bethel;
1 Kings 13:11	Beth-el:	Bethel:
1 Kings 13:32	Beth-el,	Bethel,
1 Kings 15:18	Ben-hadad,	Benhadad,
1 Kings 15:20	Ben-hadad	Benhadad
1 Kings 15:20	Abel-beth-maachah,	Abelbethmaachah,
1 Kings 16:34	Beth-elite	Bethelite
1 Kings 19:3	Beer-sheba,	Beersheba,
1 Kings 20:1	Ben-hadad	Benhadad
1 Kings 20:2	Ben-hadad,	Benhadad,
1 Kings 20:5	Ben-hadad,	Benhadad,
1 Kings 20:9	Ben-hadad,	Benhadad,
1 Kings 20:10	Ben-hadad	Benhadad
1 Kings 20:12	[Ben-hadad]	[Benhadad]
1 Kings 20:16	Ben-hadad	Benhadad
1 Kings 20:17	Ben-hadad	Benhadad
1 Kings 20:20	Ben-hadad	Benhadad
1 Kings 20:26	Ben-hadad	Benhadad
1 Kings 20:30	Ben-hadad	Benhadad
1 Kings 20:32	Ben-hadad	Benhadad
1 Kings 20:33	Ben-hadad.	Benhadad.
1 Kings 20:33	Ben-hadad	Benhadad
1 Kings 20:34	[Ben-hadad]	[Benhadad]
1 Kings 22:3	our's,	ours,
1 Kings 22:4	Ramoth-gilead?	Ramothgilead?
1 Kings 22:6	Ramoth-gilead	Ramothgilead
1 Kings 22:12	Ramoth-gilead,	Ramothgilead,
1 Kings 22:15	Ramoth-gilead	Ramothgilead
1 Kings 22:20	Ramoth-gilead?	Ramothgilead?
1 Kings 22:29	Ramoth-gilead.	Ramothgilead.
1 Kings 22:48	Ezion-geber.	Eziongeber.
2 Kings 1:2	Baal-zebub	Baalzebub
2 Kings 1:3	Baal-zebub	Baalzebub
2 Kings 1:6	Baal-zebub	Baalzebub
2 Kings 1:16	Baal-zebub	Baalzebub
2 Kings 2:2	Beth-el.	Bethel.
2 Kings 2:2	Beth-el.	Bethel.
2 Kings 2:3	Beth-el	Bethel
2 Kings 2:23	Beth-el:	Bethel:
2 Kings 3:25	Kir-haraseth	Kirharaseth
2 Kings 4:42	Baal-shalisha,	Baalshalisha,
2 Kings 6:24	Ben-hadad	Benhadad
2 Kings 8:7	Ben-hadad	Benhadad
2 Kings 8:9	Ben-hadad	Benhadad
2 Kings 8:28	Ramoth-gilead;	Ramothgilead;
2 Kings 9:1	Ramoth-gilead:	Ramothgilead:
2 Kings 9:4	Ramoth-gilead.	Ramothgilead.
2 Kings 9:14	Ramoth-gilead,	Ramothgilead,
2 Kings 10:29	Beth-el,	Bethel,
2 Kings 12:1	Beer-sheba.	Beersheba.
2 Kings 13:3	Ben-hadad	Benhadad
2 Kings 13:24	Ben-hadad	Benhadad
2 Kings 13:25	Ben-hadad	Benhadad
2 Kings 14:11	Beth-shemesh,	Bethshemesh,
2 Kings 14:13	Beth-shemesh,	Bethshemesh,
2 Kings 14:25	Gath-hepher.	Gathhepher.
2 Kings 15:29	Tiglath-pileser	Tiglathpileser
2 Kings 15:29	Abel-beth-maachah,	Abelbethmaachah,
2 Kings 16:7	Tiglath-pileser	Tiglathpileser
2 Kings 16:10	Tiglath-pileser	Tiglathpileser
2 Kings 17:28	Beth-el,	Bethel,
2 Kings 17:30	Succoth-benoth,	Succothbenoth,
2 Kings 19:37	Esar-haddon	Esarhaddon
2 Kings 20:12	Berodach-baladan,	Berodachbaladan,
2 Kings 21:1	Hephzi-bah.	Hephzibah.
2 Kings 23:4	Beth-el.	Bethel.
2 Kings 23:8	Beer-sheba,	Beersheba,
2 Kings 23:11	Nathan-melech	Nathanmelech
2 Kings 23:15	Beth-el,	Bethel,
2 Kings 23:17	Beth-el.	Bethel.
2 Kings 23:19	Beth-el.	Bethel.
2 Kings 23:29	Pharaoh-nechoh	Pharaohnechoh
2 Kings 23:33	Pharaoh-nechoh	Pharaohnechoh
2 Kings 23:34	Pharaoh-nechoh	Pharaohnechoh
2 Kings 23:35	Pharaoh-nechoh.	Pharaohnechoh.
2 Kings 25:8	Nebuzar-adan,	Nebuzaradan,
2 Kings 25:11	Nebuzar-adan	Nebuzaradan
2 Kings 25:20	Nebuzar-adan	Nebuzaradan
2 Kings 25:27	Evil-merodach	Evilmerodach
1 Chronicles 1:1	Adam, Sheth,	Adam,Sheth,
1 Chronicles 1:49	Baal-hanan	Baalhanan
1 Chronicles 1:50	Baal-hanan	Baalhanan
1 Chronicles 2:24	Caleb-ephratah,	Calebephratah,
1 Chronicles 2:45	Beth-zur.	Bethzur.
1 Chronicles 2:47	Gesham,	Geshan,
1 Chronicles 2:49	Achsa.	Achsah.
1 Chronicles 2:50	Kirjath-jearim,	Kirjathjearim,
1 Chronicles 2:51	Beth-lehem,	Bethlehem,
1 Chronicles 2:51	Beth-gader.	Bethgader.
1 Chronicles 2:52	Kirjath-jearim	Kirjathjearim
1 Chronicles 2:53	Kirjath-jearim;	Kirjathjearim;
